Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       10     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00       10     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00        9     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::begin() const
  0.00      0.00     0.00        9     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::begin() const
  0.00      0.00     0.00        8     0.00     0.00  graph::Graph::cloneList(graph::Neighbor*)
  0.00      0.00     0.00        8     0.00     0.00  graph::Graph::getAdjList() const
  0.00      0.00     0.00        8     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::operator->() const
  0.00      0.00     0.00        8     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node::_Alloc_node(std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >&)
  0.00      0.00     0.00        8     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00        7     0.00     0.00  graph::Graph::addEdge(int, int, int)
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::operator*() const
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >* std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_clone_node<false, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree_node<std::pair<int, int> >*, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&)
  0.00      0.00     0.00        6     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree_header::_Rb_tree_header()
  0.00      0.00     0.00        6     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::~set()
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Rb_tree_impl<std::less<std::pair<int, int> >, true>::~_Rb_tree_impl()
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int, int> >*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::~_Rb_tree()
  0.00      0.00     0.00        6     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  graph::Graph::isInside(std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >, int, int)
  0.00      0.00     0.00        5     0.00     0.00  graph::Graph::~Graph()
  0.00      0.00     0.00        5     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end() const
  0.00      0.00     0.00        5     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.00     0.00        5     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end() const
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_root() const
  0.00      0.00     0.00        5     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree_key_compare<std::less<std::pair<int, int> > >::_Rb_tree_key_compare(std::less<std::pair<int, int> > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int, int> > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::insert(std::pair<int, int> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::set(std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool>::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool, true>(std::_Rb_tree_iterator<std::pair<int, int> >&&, bool&&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<std::pair<int, int> >, bool>::pair<std::_Rb_tree_iterator<std::pair<int, int> >&, bool&, true>(std::_Rb_tree_iterator<std::pair<int, int> >&, bool&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<int, int>::pair<int&, int&, true>(int&, int&)
  0.00      0.00     0.00        5     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Rb_tree_impl<std::less<std::pair<int, int> >, true>::_Rb_tree_impl(std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Rb_tree_impl<std::less<std::pair<int, int> >, true> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool> std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_unique<std::pair<int, int> const&>(std::pair<int, int> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_get_insert_unique_pos(std::pair<int, int> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Rb_tree(std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >& std::forward<std::_Rb_tree_iterator<std::pair<int, int> >&>(std::remove_reference<std::_Rb_tree_iterator<std::pair<int, int> >&>::type&)
  0.00      0.00     0.00        5     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >&& std::forward<std::_Rb_tree_iterator<std::pair<int, int> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<int, int> > >::type&)
  0.00      0.00     0.00        5     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.00     0.00        5     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node_base::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node_base::_S_minimum(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        4     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&)
  0.00      0.00     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::front()
  0.00      0.00     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::pop_front()
  0.00      0.00     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00        4     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.00     0.00        4     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.00     0.00        4     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::front()
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> > std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_<std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_minimum(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_leftmost()
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_rightmost()
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_copy(std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >* std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_copy<false, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >* std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_copy<false, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree_node<std::pair<int, int> >*, std::_Rb_tree_node_base*, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_root()
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >*& std::forward<std::_Rb_tree_node<std::pair<int, int> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<int, int> >*&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  void std::__advance<std::_Rb_tree_const_iterator<std::pair<int, int> >, long>(std::_Rb_tree_const_iterator<std::pair<int, int> >&, long, std::bidirectional_iterator_tag)
  0.00      0.00     0.00        3     0.00     0.00  graph::Graph::Graph(int)
  0.00      0.00     0.00        3     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.00     0.00        3     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::remove_reference<graph::Neighbor**&>::type&& std::move<graph::Neighbor**&>(graph::Neighbor**&)
  0.00      0.00     0.00        3     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00        3     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int, int> > const&, std::_Rb_tree_iterator<std::pair<int, int> > const&)
  0.00      0.00     0.00        2     0.00     0.00  printTitle(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00        2     0.00     0.00  graph::Graph::Graph(graph::Graph const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<int*>::~__new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  graph::Algorithms::Euler_circle(graph::Graph const&, int)
  0.00      0.00     0.00        1     0.00     0.00  graph::Graph::generateRandomGraph(int, int)
  0.00      0.00     0.00        1     0.00     0.00  graph::Graph::operator=(graph::Graph const&)
  0.00      0.00     0.00        1     0.00     0.00  graph::Graph::print_graph() const
  0.00      0.00     0.00        1     0.00     0.00  graph::Graph::getNumVertices() const
  0.00      0.00     0.00        1     0.00     0.00  graph::Graph::isEven() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
